,x,y,z,language,hex
Latin ,0.13659515348983753,-1.0,-0.21667342627833253,Latin ,#009f9d
Portuguese ,0.7078215687951119,-0.6016118879215765,-0.2925646410915662,Portuguese ,#00c6d8
Spanish ,0.7514211007889364,-0.6837129615597106,-0.04434951788242181,Spanish ,#00cbb7
French ,0.4714776215090495,-0.9412894988871274,0.16563824290342266,French ,#00b982
Italian ,0.49916311444023,-0.8246228444194239,-0.2624500441298472,Italian ,#00bbc1
Romanian ,0.1273974050955271,-0.6617569355391056,-0.642661758509072,Romanian ,#009ad9
Catalan,0.8275578544943591,-0.4927173555492004,-0.009216229089875183,Catalan,#4cccb8
Gothic ,-0.6185688731871056,-0.9585656358472125,-0.024352189785201706,Gothic ,#00604c
Scots ,-0.4178063119113635,-0.8234964620980318,0.5035973203847062,Scots ,#006d07
Dutch ,0.32817473701964084,-0.3191742481826092,0.9800161079614802,Dutch ,#859a00
Afrikaans ,0.33813026673387614,-0.05871637479051506,1.0,Afrikaans ,#a89100
German ,0.14630946346792761,-0.6730756728285487,0.8625166997008988,German ,#309600
Danish ,-0.24196695881602603,-0.3336920970120151,0.9050220307052987,Danish ,#536f00
Swedish ,-0.19674061784866181,0.12663845567138954,0.9357400138783296,Swedish ,#8d6000
Faroese ,-0.6372406511386624,-0.09772569556846566,0.8393378350563456,Faroese ,#524b00
Icelandic ,-0.6268026110707636,0.11963770768798065,0.8759269699514292,Icelandic ,#694200
Norwegian (bokmål) ,-0.2700378509093423,-0.21365052004739826,0.9468773472630563,Norwegian (bokmål) ,#616900
Norwegian (nynorsk) ,-0.299357519140827,-0.03882072153135385,0.9132853618039272,Norwegian (nynorsk) ,#736000
English,-0.6755987165250863,-0.698042294448984,0.36109058268767114,English,#005713
Proto-Celtic,-0.9987918135441608,0.32619327272522036,0.11735821258798462,Proto-Celtic,#551e24
Breton,-1.0,0.07999026660782693,-0.14348985017004423,Breton,#312e41
Cornish,-0.8972881655096108,0.47418453713183006,-0.2720260705103622,Cornish,#5d1b58
Welsh,-0.8467405667473312,0.739503380284593,0.23627542937114132,Welsh,#870022
Irish,-0.5745937735657387,-0.13292296067089093,-0.7616554819974886,Irish,#0058af
Scottish Gaelic,-0.7026948506372689,-0.07738771323288884,-0.7115684526882392,Scottish Gaelic,#004d9e
Manx,-0.7821929743754937,-0.47184240379204,-0.5672855869593816,Manx,#005084
Old Church Slavonic ,0.5408543259372811,0.8526149319316987,0.24645108840322028,Old Church Slavonic ,#ff6281
Czech ,0.21402658598587765,0.8686938952951713,-0.3134525589530598,Czech ,#e349b4
Polish ,0.2268201274088424,0.6437275548191537,-0.6910895069743166,Polish ,#ad68ea
Slovak ,0.2089284860578966,0.8300609109883912,-0.41025520425179385,Slovak ,#d94fc1
Bulgarian ,0.14134704439392176,0.9941441641345059,0.2530873280436401,Bulgarian ,#fb1a63
Macedonian ,0.014484751334862267,1.0,0.017483103541770184,Macedonian ,#ea0079
Slovene ,0.4103760439427806,0.8825393110817725,0.07890567361556045,Slovene ,#ff548f
Belarusian ,0.6091401961259837,0.5405365397587232,-0.55180940141776,Belarusian ,#cc8cf7
Russian ,0.574145327733568,0.7143008823007602,-0.22542529379140874,Russian ,#f678c5
Ukrainian,0.7820663694284933,0.6220173224968084,-0.12781133781858878,Ukrainian,#ff90c9
Greek,0.1260772072917884,-0.2558134999861277,-1.0,Greek,#0093ff
Ancient_Greek,1.0,0.024247841193015818,0.5792366524544481,Ancient_Greek,#e5c36f
