,x,y,z,language,hex
Latin ,-0.7317792637827956,0.42080850418370647,0.7407191778056044,Latin ,#742500
Portuguese ,-0.871439681882521,0.7477933794319462,0.13940683971862605,Portuguese ,#7c0028
Spanish ,-0.7674669132210041,0.8812213513772101,0.0802819336923773,Spanish ,#900036
French ,-0.5673447990840477,0.8349445212232569,0.5363438083915087,French ,#a4000d
Italian ,-0.938754669084348,0.5258096068012421,0.38237902047463457,Italian ,#670503
Romanian ,-0.9246398169550036,-0.06160214966963093,0.6011656421963258,Romanian ,#393300
Catalan,-0.5354183265807274,1.0066976801266971,-5.551115123125783e-17,Catalan,#b00050
Gothic ,0.5115317401873655,1.0367308880273947,-0.3353429148074692,Gothic ,#ff54d1
Scots ,0.12874330549670632,0.11306056933167863,1.0205007594704507,Scots ,#a67900
Dutch ,0.9579244780512298,-0.08907434577181382,0.2590040561833365,Dutch ,#c6caa1
Afrikaans ,0.9477618104454042,-6.162975822039155e-33,-6.162975822039155e-33,Afrikaans ,#c3c6c6
German ,0.6670779827175641,-0.16071750000463442,0.7923295126625194,German ,#b5b234
Danish ,0.6660725021943923,0.304536252562039,0.5503246094452575,Danish ,#e89c61
Swedish ,0.659148912644942,0.4634371613974377,0.19001710419895707,Swedish ,#f09394
Faroese ,0.5194018917327692,0.8324223337974979,0.2638905561205472,Faroese ,#ff6880
Icelandic ,0.4058375541989872,0.8290617887995704,0.4976499404195539,Icelandic ,#ff5c57
Norwegian (bokmål) ,0.615259197384356,0.4345909349895024,0.5457742230603841,Norwegian (bokmål) ,#f2905e
Norwegian (nynorsk) ,0.5747247423394902,0.5113605391633728,0.3891939221192054,Norwegian (nynorsk) ,#f38872
English,-0.05627155300311973,-0.05907626329534932,1.0366985787249976,English,#827200
Proto-Celtic,0.6255143069742051,-0.8401881737313444,0.1732656509453083,Proto-Celtic,#00c690
Breton,0.31415405477435504,-0.8980998934424239,0.4802475895490721,Breton,#00aa4a
Cornish,0.3576763230267369,-1.0030045898973035,-0.07252824945834363,Cornish,#00b29b
Welsh,0.6590297098935287,-0.8016136436133601,-0.35968548618880103,Welsh,#00cade
Irish,-0.44993836770529455,-0.7261751393834536,0.7118497007026241,Irish,#006600
Scottish Gaelic,-0.27768172635654503,-0.8911812220556966,0.6176836371217053,Scottish Gaelic,#007700
Manx,-0.5511884254467388,-0.9397656205508187,0.41754351694635783,Manx,#006111
Old Church Slavonic ,-0.3701224204094419,-0.39984773410185476,-0.8553150396136051,Old Church Slavonic ,#006dc6
Czech ,-0.8413573060934285,0.022341828549246434,-0.7118504230304727,Czech ,#003d8b
Polish ,-0.1057074616209459,-0.4201586824223686,-0.9798739694233913,Polish ,#0084ef
Slovak ,-0.7816900874295887,0.1147963721753743,-0.8114439605711193,Slovak ,#003f9d
Bulgarian ,-0.19110387331233214,0.1653563407075045,-1.0327279218692216,Bulgarian ,#006bef
Macedonian ,-0.40611697658253904,0.34412018795304794,-0.9674510926626043,Macedonian ,#0051d2
Slovene ,-0.43607932901878066,-0.022038996674718647,-0.9431922384129903,Slovene ,#005ecc
Belarusian ,-0.6952087011879572,-0.6096845902253716,-0.613127320854725,Belarusian ,#00558b
Russian ,-0.6885917281517019,-0.29354214751899127,-0.7219406323926533,Russian ,#005199
Ukrainian,-0.868575474183515,-0.4420662313012148,-0.4760974328203958,Ukrainian,#00446c
Greek,0.4266964376206734,0.7616201363158557,-0.8851502703418759,Greek,#bb74ff
Ancient_Greek,0.7651270004414396,0.2464374793707696,-0.8387382144527563,Ancient_Greek,#7db1ff
