,x,y,z,language,hex
Latin ,0.7517542346334869,0.6258486304127071,0.07666309018058381,Latin ,#0080e5
Portuguese ,0.8992198878732809,0.23507253053468768,-0.3144416088002925,Portuguese ,#007ce3
Spanish ,0.8623360469929024,0.3754448758370259,-0.2560744047521851,Spanish ,#0081e6
French ,1.0,-0.23086139497834146,0.031443190842416646,French ,#005cd7
Italian ,0.968805671317418,0.2909554964182739,0.10528287358190491,Italian ,#0071f1
Romanian ,0.5742134775236098,0.2744093092906108,-0.7129165341340715,Romanian ,#0085b8
Catalan,0.9564871681769358,0.011314983251545785,-0.13558341940560747,Catalan,#006dde
Gothic ,-0.3491404553825934,-0.7269186490449923,0.7703490825780868,Gothic ,#8d0017
Scots ,-0.0018228766039749544,0.6431988725777227,0.6995443945536826,Scots ,#d24f80
Dutch ,0.492788739852845,-0.4357044290577051,0.7709885557218124,Dutch ,#860089
Afrikaans ,0.42151572101440715,-0.5148295291842313,0.6572360781552053,Afrikaans ,#79167b
German ,0.12369030065141384,-0.593354479453603,0.7666169555402815,German ,#8d0053
Danish ,0.3447173305339837,0.1148961356861562,0.8952080854144697,Danish ,#ba0693
Swedish ,0.06112952495439239,0.16321784867908207,0.8552959666537727,Swedish ,#c31471
Faroese ,-0.2667005684856584,-0.032882133147629666,1.0,Faroese ,#cc003f
Icelandic ,-0.3164792564978688,0.15636606351106574,0.992530343882351,Icelandic ,#d80041
Norwegian (bokmål) ,0.24229239495233612,0.055662828429209776,0.9446875998912272,Norwegian (bokmål) ,#c00083
Norwegian (nynorsk) ,0.060431035617262374,0.0122065850216444,0.9253356050737742,Norwegian (nynorsk) ,#c10069
English,0.06424389227409111,0.7678119647630866,0.5115478469743309,English,#c2678f
Proto-Celtic,0.175557153743636,0.2604549168659265,-1.0,Proto-Celtic,#008681
Breton,0.3975705076073752,-0.6189565842117843,-0.609420311433919,Breton,#005371
Cornish,0.5079756020727606,-0.44174762378786836,-0.8072915568746796,Cornish,#006089
Welsh,0.5916029610565305,-0.7969175482232055,-0.3316260694561114,Welsh,#004781
Irish,-0.026891359028917816,-0.5338110487118604,-0.8491233112861765,Irish,#005940
Scottish Gaelic,-0.11149167880694455,-0.8557068006976818,-0.4535859843397956,Scottish Gaelic,#004228
Manx,0.0033973352947316293,-1.0,-0.07600856145471402,Manx,#263331
Old Church Slavonic ,-0.7159214808375778,0.35894591788775765,-0.5649350125233895,Old Church Slavonic ,#318000
Czech ,-0.9770787845299802,0.1413302269996124,-0.03461786997610661,Czech ,#796400
Polish ,-1.0,-0.22284648108091887,-0.31261377737852036,Polish ,#465c00
Slovak ,-0.8748913745009079,0.3376570401641319,-0.26926531729883263,Slovak ,#667700
Bulgarian ,-0.9377043604549024,-0.22653617292163486,0.09773955126123601,Bulgarian ,#724d00
Macedonian ,-0.7221480676123029,-0.16892132651877612,-0.5918355083635012,Macedonian ,#006600
Slovene ,-0.73033719557833,0.13471335465892365,-0.5952357105462787,Slovene ,#187600
Belarusian ,-0.9364347425511379,-0.41709808734932985,-0.17805789002787642,Belarusian ,#4c4f00
Russian ,-0.9303135619058945,0.13611950478205714,-0.24929564704518115,Russian ,#5f6c00
Ukrainian,-0.9323035687023952,0.41804470469029376,0.02458367601109468,Ukrainian,#8e6f00
Greek,0.015178824300134064,1.0,-0.2581415345205873,Greek,#629b92
Ancient_Greek,0.1319952842487877,0.8727563890415204,-0.5302970636758051,Ancient_Greek,#009d9b
